SKU_ID,Product_Name,Department,Category,Subcategory,Brand,Vendor_ID,Product_Cost,Original_Retail_Price,Current_Retail_Price,Margin_Percentage,Launch_Date,Season,Product_Status,Style,Colour,Size,Material,Price_Band,Demand_Index,Inventory_Bias
DEC0001,Ridge Marble House,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V011,45.39,89.78,89.78,0.4944,2024-08-01,Core,Active,Minimal,Oat,Large,Linen,Best,1.0059,1.36
DEC0002,Ridge Wool Line,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V019,9.05,20.71,20.71,0.5631,2024-09-26,Core,Active,Modern,Sand,Large,Cotton,Good,0.287,1.36
DEC0003,Vale Wool Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V004,12.3,28.76,28.76,0.5722,2024-09-12,Core,Active,Artisan,Sage,One Size,Rattan,Good,1.3853,1.36
DEC0004,Luna Rattan Series,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V012,16.71,34.58,34.58,0.5167,2024-05-12,Core,Active,Modern,Slate,Large,Ceramic,Good,1.1329,1.36
DEC0005,Noir Ceramic Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V018,47.06,100.39,100.39,0.5312,2024-03-18,Core,Active,Modern,Sand,Large,Rattan,Best,0.7802,1.36
DEC0006,Luna Oak Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V007,11.24,21.56,21.56,0.4787,2023-09-09,Core,Active,Organic,Charcoal,Small,Oak,Good,1.0319,1.36
DEC0007,Mira Wool Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V012,52.39,116.25,116.25,0.5494,2024-09-04,Core,Active,Organic,Espresso,Small,Stone,Best,0.7631,1.36
DEC0008,Luna Rattan Edit,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V001,37.92,78.95,78.95,0.5197,2024-09-07,Core,Active,Organic,Sand,Large,Marble,Best,0.6823,1.36
DEC0009,Luna Ceramic Edit,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V006,11.4,25.94,25.94,0.5606,2023-11-24,Core,Active,Modern,Natural,Small,Rattan,Good,1.5136,1.36
DEC0010,Avery Brass Form,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V013,29.91,74.13,74.13,0.5966,2024-11-01,Core,Active,Classic,Slate,Medium,Brass,Best,1.1993,1.36
DEC0011,Vale Linen Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V019,12.41,27.91,27.91,0.5552,2023-12-27,Core,Seasonal,Minimal,Slate,Small,Glass,Good,1.4896,1.36
DEC0012,Mira Wool Line,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V006,11.67,25.55,25.55,0.5434,2024-12-02,Core,Active,Classic,Natural,Medium,Cotton,Good,0.7977,1.36
DEC0013,Sable Ceramic Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V014,24.19,57.69,57.69,0.5807,2023-08-27,Core,Active,Artisan,Ivory,Medium,Oak,Better,0.8288,1.36
DEC0014,Aster Glass Series,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V003,19.88,47.2,47.2,0.5788,2024-03-14,Core,Active,Artisan,Champagne,Small,Oak,Better,1.3637,1.36
DEC0015,Mira Linen Object,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V007,12.15,25.57,25.57,0.5247,2024-05-30,Core,Active,Classic,Oat,Large,Oak,Good,0.7233,1.36
DEC0016,Luna Glass Atelier,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V014,32.23,66.55,66.55,0.5158,2023-10-27,Core,Active,Artisan,Slate,Small,Rattan,Better,0.277,1.36
DEC0017,Noir Ceramic Edit,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V003,18.73,45.29,45.29,0.5865,2023-09-14,Core,Active,Organic,Slate,Small,Glass,Better,0.5594,1.36
DEC0018,Marlow Cotton Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V008,37.73,81.57,81.57,0.5375,2023-06-13,Core,Active,Classic,Terracotta,Small,Marble,Best,0.7848,1.36
DEC0019,Marlow Cotton Object,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V015,30.39,70.88,70.88,0.5712,2023-08-23,Core,Active,Artisan,Terracotta,Medium,Rattan,Best,0.7548,1.36
DEC0020,Aster Stone Edit,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V004,49.6,96.28,96.28,0.4849,2024-06-05,Core,Active,Organic,Charcoal,One Size,Oak,Best,0.8324,1.36
DEC0021,Aster Ceramic Vessel,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V012,21.38,45.15,45.15,0.5264,2024-02-13,Core,Seasonal,Classic,Espresso,Large,Stone,Better,0.5132,1.36
DEC0022,Arc Wool Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V016,29.04,66.92,66.92,0.5661,2024-04-19,Core,Active,Modern,Ivory,Large,Marble,Better,0.8139,1.36
DEC0023,Aster Ceramic Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V002,55.59,117.93,117.93,0.5286,2024-02-23,Core,Active,Artisan,Charcoal,One Size,Marble,Best,0.7136,1.36
DEC0024,Aster Oak Form,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V010,49.01,103.4,103.4,0.526,2023-05-23,Core,Active,Artisan,Charcoal,Small,Linen,Best,0.6186,1.36
DEC0025,Mira Stone Edit,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V017,43.07,101.23,101.23,0.5745,2023-09-11,Core,Active,Modern,Charcoal,Small,Glass,Best,0.8821,1.36
DEC0026,Mira Oak Object,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V003,15.01,32.03,32.03,0.5315,2024-10-18,Core,Active,Classic,Champagne,Large,Linen,Good,0.7476,1.36
DEC0027,Harbour Linen Collection,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V010,31.33,66.68,66.68,0.5302,2023-08-06,Core,Active,Organic,Oat,Small,Rattan,Better,0.9449,1.36
DEC0028,Cove Glass House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V018,21.01,40.29,40.29,0.4784,2024-05-01,Core,Active,Minimal,Terracotta,One Size,Wool,Better,1.0944,1.36
DEC0029,Aster Rattan House,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V006,54.42,107.42,75.19,0.4934,2023-06-15,Core,Exit,Organic,Terracotta,Small,Cotton,Best,1.5863,1.36
DEC0030,Harbour Brass Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V014,47.82,108.96,108.96,0.5611,2023-11-19,Core,Active,Organic,Ivory,One Size,Brass,Best,1.5959,1.36
DEC0031,Avery Glass Series,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V019,49.77,110.72,110.72,0.5505,2023-06-05,Core,Active,Minimal,Charcoal,Large,Marble,Best,0.6575,1.36
DEC0032,Luna Brass Object,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V007,10.58,22.75,22.75,0.5349,2023-08-16,Core,Active,Artisan,Champagne,Large,Rattan,Good,0.6966,1.36
DEC0033,Aster Brass Studio,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V014,20.12,51.56,51.56,0.6097,2023-09-19,Core,Active,Modern,Sand,One Size,Oak,Better,0.9522,1.36
DEC0034,Mira Oak Object,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V001,39.66,98.32,98.32,0.5967,2024-12-29,Core,Active,Artisan,Charcoal,Medium,Marble,Best,0.5241,1.36
DEC0035,Ridge Ceramic Collection,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V008,62.64,125.35,125.35,0.5003,2023-07-08,Core,Active,Minimal,Ivory,Medium,Marble,Best,0.4554,1.36
DEC0036,Vale Ceramic Line,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V015,52.03,97.4,97.4,0.4658,2024-05-23,Core,Active,Organic,Ivory,Medium,Glass,Best,1.0,1.36
DEC0037,Harbour Linen Object,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V002,36.83,83.93,83.93,0.5612,2024-09-02,Core,Active,Minimal,Slate,One Size,Stone,Best,1.0675,1.36
DEC0038,Marlow Marble Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V008,12.03,25.67,25.67,0.5314,2023-08-12,Core,Active,Modern,Sage,One Size,Stone,Good,0.835,1.36
DEC0039,Vale Stone Vessel,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V017,56.38,115.98,115.98,0.5139,2023-11-24,Core,Active,Artisan,Sand,Small,Stone,Best,0.7823,1.36
DEC0040,Harbour Ceramic Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V005,50.38,109.88,109.88,0.5415,2023-08-03,Core,Active,Organic,Natural,Medium,Cotton,Best,1.1179,1.36
DEC0041,Harbour Glass Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V008,38.56,69.51,69.51,0.4453,2024-01-04,Core,Active,Artisan,Sage,One Size,Brass,Better,0.4672,1.36
DEC0042,Ridge Cotton Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V016,31.91,67.91,67.91,0.5301,2024-11-22,Core,Active,Artisan,Natural,Small,Brass,Better,0.4216,1.36
DEC0043,Mira Stone Object,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V005,15.13,36.94,36.94,0.5905,2023-08-10,Core,Active,Artisan,Ivory,Large,Marble,Good,1.6432,1.36
DEC0044,Sable Wool Edit,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V013,38.21,81.9,81.9,0.5335,2024-05-25,Core,Active,Modern,Oat,One Size,Marble,Best,1.1013,1.36
DEC0045,Ridge Cotton Form,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V016,32.57,71.12,71.12,0.542,2023-10-05,Core,Active,Artisan,Oat,Large,Wool,Best,0.7018,1.36
DEC0046,Aster Cotton Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V004,12.11,25.07,25.07,0.5171,2024-01-20,Core,Active,Minimal,Charcoal,Medium,Brass,Good,1.2639,1.36
DEC0047,Sable Wool Atelier,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V013,51.05,103.34,103.34,0.506,2024-01-11,Core,Active,Minimal,Champagne,Medium,Marble,Best,1.0943,1.36
DEC0048,Luna Ceramic Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V017,29.85,57.72,57.72,0.4829,2023-08-26,Core,Active,Artisan,Sage,Small,Oak,Better,0.7626,1.36
DEC0049,Arc Rattan Edit,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V006,13.34,33.72,33.72,0.6044,2023-10-03,Core,Active,Minimal,Sage,One Size,Marble,Good,0.645,1.36
DEC0050,Sable Rattan Studio,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V015,38.31,83.86,83.86,0.5432,2024-05-09,Core,Active,Organic,Charcoal,Large,Ceramic,Best,2.5133,1.36
DEC0051,Harbour Brass Atelier,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V020,25.7,45.0,45.0,0.429,2024-11-16,Core,Active,Organic,Espresso,Medium,Glass,Better,0.3647,1.36
DEC0052,Vale Rattan Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V006,35.81,80.44,80.44,0.5548,2023-11-30,Core,Active,Organic,Sage,Medium,Oak,Best,0.3712,1.36
DEC0053,Sable Stone Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V012,8.46,23.43,23.43,0.639,2024-06-11,Core,Active,Organic,Oat,Medium,Marble,Good,0.4172,1.36
DEC0054,Avery Linen Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V002,35.94,75.9,75.9,0.5264,2024-04-19,Core,Seasonal,Modern,Espresso,Medium,Oak,Best,1.1998,1.36
DEC0055,Avery Wool Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V007,18.74,46.76,46.76,0.5992,2024-05-15,Core,Active,Organic,Champagne,Small,Rattan,Better,0.9213,1.36
DEC0056,Luna Rattan Series,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V014,38.7,95.02,95.02,0.5928,2024-09-15,Core,Active,Artisan,Oat,Large,Linen,Best,0.7819,1.36
DEC0057,Noir Ceramic Edit,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V002,47.76,110.17,110.17,0.5665,2023-12-04,Core,Active,Minimal,Slate,Medium,Brass,Best,0.7846,1.36
DEC0058,Avery Rattan Line,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V008,28.86,66.45,66.45,0.5656,2023-10-04,Core,Active,Classic,Sand,One Size,Stone,Better,1.3759,1.36
DEC0059,Noir Oak Atelier,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V016,29.92,74.0,74.0,0.5956,2024-05-21,Core,Active,Classic,Terracotta,Small,Brass,Best,1.625,1.36
DEC0060,Marlow Glass Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V002,54.7,117.81,117.81,0.5357,2024-05-13,Core,Active,Classic,Ivory,One Size,Linen,Best,1.7131,1.36
DEC0061,Cove Stone Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V009,44.11,91.73,91.73,0.5191,2024-03-26,Core,Active,Classic,Ivory,Small,Wool,Best,0.7884,1.36
DEC0062,Arc Wool Vessel,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V016,55.96,104.67,104.67,0.4653,2024-05-05,Core,Active,Modern,Sage,One Size,Stone,Best,1.8192,1.36
